source_file_id,framework,version,variant,task,model,size_mb,params_m,gmacs,cpu_cores,latency_ms
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,squeezenet1_0,4.762,1.248,0.82,1,278.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,squeezenet1_0,4.762,1.248,0.82,2,150.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,squeezenet1_0,4.762,1.248,0.82,3,112.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,squeezenet1_0,4.762,1.248,0.82,4,101.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,squeezenet1_1,4.713,1.235,0.35,1,117.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,squeezenet1_1,4.713,1.235,0.35,2,63.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,squeezenet1_1,4.713,1.235,0.35,3,51.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,squeezenet1_1,4.713,1.235,0.35,4,44.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,vgg16,527.7,138.3,15.4,1,2035.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,vgg16,527.7,138.3,15.4,2,1150.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,vgg16,527.7,138.3,15.4,3,906.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,vgg16,527.7,138.3,15.4,4,828.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,resnext50_32x4d,95.73,25.02,4.25,1,1192.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,resnext50_32x4d,95.73,25.02,4.25,2,640.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,resnext50_32x4d,95.73,25.02,4.25,3,473.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,resnext50_32x4d,95.73,25.02,4.25,4,457.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,resnext101_32x8d,339.4,88.79,16.4,1,4600.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,resnext101_32x8d,339.4,88.79,16.4,2,2477.0
